 


Threshold Search
CHAMPAIGN WILLARD AP (IL)
17019
Lat/Lon/Elev: 40.0397/-88.2778/754
Years: 1972 to 2019
Limited to: 01/01 - 12/31 and 00:00 - 24:00
Criterion: Dew Point Temperature (F) greater than 75
Mode: Chronological list of hours meeting criteria
29,496 out of 376,600 hours missing (7.8%)

Date,Time,Dew Point Temperature (F)
1973-07-03,11:00,81
1973-07-13,15:00,79
1973-07-23,16:00,76
1973-07-23,17:00,76
1973-07-23,18:00,76
1973-07-23,19:00,76
1973-07-23,20:00,76
1973-07-25,09:00,76
1973-08-27,19:00,76
1974-07-18,17:00,76
1976-07-22,18:00,76
1976-07-22,19:00,78
1976-07-22,20:00,76
1976-07-23,13:00,76
1976-07-23,18:00,76
1976-07-23,19:00,77
1976-07-26,18:00,76
1976-07-28,12:00,76
1976-07-28,13:00,76
1976-07-28,14:00,76
1976-07-30,18:00,76
1976-07-30,19:00,77
1976-08-11,16:00,79
1977-07-13,10:00,76
1977-07-13,15:00,76
1977-07-14,01:00,78
1977-07-14,09:00,76
1977-07-14,10:00,76
1977-07-14,11:00,76
1977-07-14,12:00,76
1977-07-14,13:00,76
1977-07-14,14:00,76
1977-07-14,17:00,76
1977-07-14,19:00,76
1977-07-14,20:00,76
1977-07-15,09:00,76
1977-07-15,19:00,76
1977-07-15,20:00,77
1977-07-17,19:00,76
1977-07-17,20:00,76
1977-07-17,21:00,76
1978-08-15,23:00,79
1978-08-18,16:00,76
1978-08-18,19:00,76
1978-09-17,13:00,76
1979-08-06,10:00,76
1979-08-06,11:00,76
1979-08-06,12:00,76
1979-08-06,13:00,77
1979-08-06,14:00,76
1979-08-06,15:00,76
1979-08-06,16:00,76
1979-08-06,18:00,76
1979-08-06,19:00,76
1979-08-06,20:00,76
1979-08-06,21:00,76
1980-06-06,23:00,76
1980-06-28,12:00,78
1980-06-28,14:00,78
1980-06-28,15:00,78
1980-06-28,16:00,76
1980-06-28,17:00,78
1980-06-28,18:00,78
1980-06-28,19:00,77
1980-07-04,14:00,76
1980-07-04,16:00,77
1980-07-04,17:00,76
1980-07-04,18:00,76
1980-07-04,19:00,77
1980-07-04,20:00,77
1980-07-04,22:00,76
1980-07-05,02:00,76
1980-07-07,11:00,76
1980-07-07,12:00,76
1980-07-07,13:00,79
1980-07-07,14:00,77
1980-07-07,15:00,76
1980-07-07,16:00,76
1980-07-07,17:00,76
1980-07-07,18:00,76
1980-07-07,20:00,76
1980-07-07,21:00,77
1980-07-07,22:00,77
1980-07-08,18:00,77
1980-07-08,19:00,78
1980-07-08,20:00,76
1980-07-09,08:00,78
1980-07-09,17:00,76
1980-07-09,18:00,76
1980-07-09,19:00,76
1980-07-09,20:00,77
1980-07-09,21:00,76
1980-07-10,08:00,76
1980-07-10,11:00,78
1980-07-10,13:00,76
1980-07-10,14:00,77
1980-07-10,15:00,80
1980-07-11,19:00,76
1980-07-11,20:00,76
1980-07-12,15:00,76
1980-07-12,16:00,78
1980-07-12,17:00,79
1980-07-12,18:00,76
1980-07-12,19:00,77
1980-07-12,20:00,76
1980-07-14,10:00,79
1980-07-14,14:00,76
1980-07-14,18:00,76
1980-07-14,19:00,76
1980-07-14,20:00,78
1980-07-16,15:00,76
1980-07-21,10:00,76
1980-07-31,12:00,76
1980-07-31,17:00,76
1980-07-31,18:00,76
1980-08-01,13:00,77
1980-08-01,15:00,76
1980-08-01,16:00,79
1980-08-04,13:00,76
1980-08-07,10:00,78
1980-08-07,14:00,76
1980-08-07,16:00,79
1980-08-07,17:00,78
1980-08-07,19:00,76
1980-08-07,20:00,76
1980-08-09,13:00,76
1980-08-10,12:00,76
1980-08-10,13:00,76
1980-08-10,14:00,76
1980-08-10,16:00,76
1980-08-10,18:00,76
1980-08-17,13:00,76
1980-08-17,14:00,76
1980-08-17,17:00,76
1980-08-19,13:00,77
1980-08-19,14:00,79
1980-08-19,15:00,78
1980-08-19,16:00,78
1980-08-19,17:00,78
1980-08-19,18:00,78
1980-08-19,19:00,78
1980-08-19,20:00,77
1980-08-19,21:00,77
1980-08-19,22:00,76
1980-08-20,11:00,77
1980-08-20,12:00,76
1980-08-20,13:00,76
1980-08-20,14:00,77
1980-08-20,15:00,78
1980-08-21,10:00,77
1980-08-21,11:00,77
1980-09-22,14:00,76
1981-06-05,09:00,76
1981-06-13,12:00,76
1981-06-13,13:00,76
1981-07-07,14:00,79
1981-07-08,13:00,76
1981-07-08,16:00,77
1981-07-08,21:00,76
1981-07-08,22:00,76
1981-07-08,23:00,76
1981-07-09,07:00,76
1981-07-09,08:00,76
1981-07-09,09:00,77
1981-07-09,10:00,77
1981-07-09,11:00,76
1981-07-09,12:00,76
1981-07-09,15:00,76
1981-07-09,17:00,76
1981-07-12,11:00,78
1981-07-12,12:00,78
1981-07-12,13:00,78
1981-07-12,14:00,78
1981-07-12,15:00,78
1981-07-12,16:00,78
1981-07-12,17:00,77
1981-07-12,18:00,79
1981-07-12,19:00,80
1981-07-12,20:00,77
1981-07-12,21:00,76
1981-07-12,22:00,76
1981-07-13,07:00,76
1981-07-13,08:00,78
1981-07-13,09:00,78
1981-07-13,10:00,78
1981-07-13,11:00,77
1981-07-13,12:00,78
1981-07-13,13:00,79
1981-07-13,14:00,80
1981-07-13,15:00,79
1981-07-13,16:00,78
1981-07-13,17:00,78
1981-07-13,18:00,80
1981-07-13,19:00,76
1981-07-18,14:00,77
1981-07-18,22:00,76
1981-07-19,16:00,76
1981-07-19,22:00,76
1981-07-20,12:00,76
1981-07-20,13:00,76
1981-07-20,14:00,78
1981-07-20,15:00,76
1981-07-25,14:00,76
1981-08-04,09:00,76
1981-08-04,10:00,78
1981-08-04,11:00,77
1981-08-04,18:00,78
1981-08-04,19:00,76
1981-08-05,08:00,76
1981-08-05,09:00,76
1981-08-05,10:00,78
1981-08-05,11:00,78
1981-08-31,10:00,76
1981-08-31,11:00,77
1981-08-31,12:00,78
1981-08-31,13:00,76
1981-08-31,14:00,76
1981-09-01,14:00,77
1981-10-05,15:00,78
1982-07-04,08:00,76
1982-07-04,09:00,76
1982-07-04,10:00,78
1982-07-04,11:00,78
1982-07-04,12:00,78
1982-07-04,13:00,76
1982-07-04,18:00,76
1982-07-05,10:00,76
1982-07-05,11:00,78
1982-07-05,12:00,79
1982-07-05,14:00,79
1982-07-05,15:00,80
1982-07-05,16:00,80
1982-07-05,17:00,80
1982-07-05,18:00,80
1982-07-05,19:00,79
1982-07-05,20:00,78
1982-07-05,21:00,76
1982-07-06,08:00,76
1982-07-06,09:00,78
1982-07-06,10:00,76
1982-07-06,11:00,76
1982-07-06,12:00,76
1982-07-06,13:00,76
1982-07-06,15:00,77
1982-07-06,16:00,77
1982-07-06,17:00,76
1982-07-06,18:00,77
1982-07-06,19:00,76
1982-07-07,16:00,78
1982-07-10,16:00,76
1982-07-16,10:00,76
1982-07-16,11:00,77
1982-07-16,12:00,77
1982-07-16,13:00,76
1982-07-16,15:00,76
1982-07-16,18:00,77
1982-07-17,09:00,78
1982-07-17,10:00,79
1982-07-17,11:00,80
1982-07-17,12:00,80
1982-07-17,13:00,78
1982-07-17,14:00,78
1982-07-17,15:00,77
1982-07-17,16:00,77
1982-07-17,17:00,77
1982-07-17,19:00,76
1982-07-17,20:00,76
1982-07-18,09:00,77
1982-07-18,15:00,77
1982-07-18,16:00,78
1982-07-18,17:00,76
1982-07-18,19:00,78
1982-07-18,20:00,79
1982-07-18,21:00,79
1982-07-19,10:00,76
1982-07-19,11:00,77
1982-07-19,13:00,76
1982-07-19,14:00,76
1982-07-20,10:00,76
1982-07-20,11:00,76
1982-07-20,12:00,76
1982-07-20,15:00,76
1982-07-21,13:00,76
1982-07-21,14:00,76
1982-07-21,15:00,76
1982-07-21,16:00,76
1982-07-21,17:00,76
1982-07-21,18:00,76
1982-07-21,19:00,76
1982-07-26,11:00,76
1982-07-26,13:00,76
1982-07-26,17:00,76
1982-07-26,20:00,76
1982-07-27,08:00,76
1982-07-27,09:00,76
1982-07-27,10:00,77
1982-07-27,11:00,76
1982-07-27,12:00,77
1982-07-27,14:00,76
1982-07-27,15:00,76
1982-07-27,16:00,76
